Sample,PRICE,DATE,NEIGHBORHOOD,N_CAH,N_CE,N_OC1,N_OC2,N_RSW,CLUSTER,WARD,OUTLIER 3s,LOTSIZE,FLOORSPACE,AGE,BEDROOM,BATHROOM,HALFBATHROOM,FLOOR,HEAT,AC,FIREPLACE,BTYPE,CBD,METRO,POPU,SCHOOL,INCOME,VCRIMES,PCRIMES,FORE,BLACK,WHITE,HIS,ASIAN,POVERTY,UNEM,TEENMUM,VACANCY,OWNER,VOLUMN,MPRICE,FEMALEHEADED,LOWWEIGHT,SUBPRIME
0.8339163581,262,29/09/2009,OLD CITY II,0,0,0,1,0,7,6,,7,759,1,1,1,0,1,0,1,0,4,1266.51,465.73,23895,7.00,104622,11,49,21,29,48,15,7.8,16,6.3,9.8,7,34,25,559000,44,9.2,4.1
0.8340225038,472,25/04/2008,OLD CITY I,0,0,1,0,0,25,6,,350,493,62,1,1,0,1,0,1,0,4,1001.82,193.86,29295,7.58,126277,16,60,6.1,43,49,4.3,3.2,13,6.5,7.2,3.9,57,211,477000,40,10,11
0.8342670593,422,06/10/2008,OLD CITY I,0,0,1,0,0,25,6,,31,728,1,1,1,0,1,1,1,0,4,3925.28,100.31,29295,7.58,126277,16,60,6.1,43,49,4.3,3.2,13,6.5,7.2,3.9,57,211,477000,40,10,11
0.8345130103,555,29/01/2008,OLD CITY II,0,0,0,1,0,7,6,,93,692,1,1,1,0,1,0,1,0,4,2489.07,623.80,23895,7.00,104622,11,54,21,29,48,15,7.8,16,6.3,9.8,7,34,37,567000,44,9.2,4.1
0.8349218592,535,15/01/2008,OLD CITY I,0,0,1,0,0,25,6,,28,671,1,1,1,0,1,1,1,0,4,3925.28,100.31,29295,7.58,126277,16,60,6.1,43,49,4.3,3.2,13,6.5,7.2,3.9,57,211,477000,40,10,11
0.8350377175,515,22/04/2008,CENTRAL,0,1,0,0,0,5,6,,51,796,4,1,1,0,0,1,1,0,4,631.94,263.12,16160,6.48,203276,3.1,28,20,6.7,75,5.7,12,27,3.2,2.6,13,39,3,0,18,6,0.7
0.8356429993,425,25/07/2008,R.L.A. SW,0,0,0,0,1,9,6,,223,581,49,1,1,0,1,0,1,0,4,2474.20,601.22,11588,7.31,83289,13,37,13,56,33,5.2,5.2,20,10,13,1,39,15,658000,63,16,5.4
0.8358190661,576,04/09/2008,OLD CITY II,0,0,0,1,0,7,6,,95,693,1,1,1,0,1,0,1,0,4,2489.07,623.80,23895,7.00,104622,11,54,21,29,48,15,7.8,16,6.3,9.8,7,34,37,567000,44,9.2,4.1
0.8396446306,470,10/12/2009,R.L.A. SW,0,0,0,0,1,9,6,,107,683,49,1,1,0,1,0,1,0,4,1674.32,586.68,11588,7.31,83289,10,34,13,56,33,5.2,5.2,20,10,13,1,39,10,650000,63,16,5.4
0.840198172,285,24/09/2009,OLD CITY II,0,0,0,1,0,7,6,,6,696,1,1,1,0,1,0,1,0,4,1266.51,465.73,23895,7.00,104622,11,49,21,29,48,15,7.8,16,6.3,9.8,7,34,25,559000,44,9.2,4.1
